x,y,hex
29,7,#585858
29,8,#2e2e2e
29,9,#1a1a1a
29,10,#1c1c1c
29,11,#252525
29,12,#474747
29,13,#868686
29,14,#aeaeae
29,15,#c0c0c0
29,16,#c3c3c3
29,17,#c1c1c1
29,18,#bbbbbb
29,19,#b2b2b2
29,20,#a5a5a5
29,21,#9b9b9b
29,22,#939393
29,23,#919191
29,24,#979797
29,25,#959595
29,26,#7c7c7c
29,27,#5b5b5b
29,28,#505050
29,29,#525252
29,30,#585858
29,31,#636363
29,32,#7c7c7c
29,33,#9e9e9e
29,34,#b2b2b2
29,35,#b6b6b6
29,36,#c1c1c1
29,37,#b8b8b8
29,38,#8b8b8b
29,39,#595959
29,40,#4f4f4f
29,41,#737373
29,42,#939393
29,43,#999999
29,44,#909090
29,45,#696969
29,46,#4f4f4f
29,47,#6f6f6f
29,48,#424242
29,49,#737373
29,50,#a8a8a8
29,51,#717171
29,52,#414141
29,53,#4c4c4c
29,54,#646464
29,55,#5f5f5f
29,56,#4a4a4a
29,57,#4b4b4b
29,58,#4c4c4c
29,59,#222222
29,60,#a3a3a3
30,0,#fcfcfc
30,1,#e1e1e1
30,2,#c9c9c9
30,3,#787878
30,4,#898989
30,5,#767676
30,6,#686868
30,7,#626262
30,8,#454545
30,9,#1b1b1b
30,10,#151515
30,11,#1d1d1d
30,12,#565656
30,13,#989898
30,14,#b4b4b4
30,15,#c0c0c0
30,16,#c4c4c4
30,17,#c3c3c3
30,18,#bababa
30,19,#b1b1b1
30,20,#a5a5a5
30,21,#9b9b9b
30,22,#939393
30,23,#919191
30,24,#929292
30,25,#919191
30,26,#888888
30,27,#707070
30,28,#606060
30,29,#616161
30,30,#6b6b6b
30,31,#7b7b7b
30,32,#979797
30,33,#afafaf
30,34,#b5b5b5
30,35,#c1c1c1
30,36,#d5d5d5
30,37,#c1c1c1
30,38,#919191
30,39,#636363
30,40,#4e4e4e
30,41,#666666
30,42,#929292
30,43,#a2a2a2
30,44,#9c9c9c
30,45,#6f6f6f
30,46,#444444
30,47,#5f5f5f
30,48,#313131
30,49,#555555
30,50,#8d8d8d
30,51,#696969
30,52,#414141
30,53,#444444
30,54,#565656
30,55,#525252
30,56,#474747
30,57,#4c4c4c
30,58,#4a4a4a
30,59,#272727
30,60,#c6c6c6
31,0,#f9f9f9
31,1,#bababa
31,2,#989898
31,3,#919191
31,4,#a0a0a0
31,5,#9e9e9e
31,6,#5e5e5e
31,7,#454545
31,8,#454545
31,9,#1d1d1d
31,10,#141414
31,11,#232323
31,12,#666666
31,13,#a3a3a3
31,14,#bbbbbb
31,15,#c2c2c2
31,16,#c6c6c6
31,17,#c3c3c3
31,18,#bbbbbb
31,19,#b0b0b0
31,20,#a6a6a6
31,21,#9d9d9d
31,22,#979797
31,23,#939393
31,24,#919191
31,25,#8d8d8d
31,26,#858585
31,27,#787878
31,28,#6a6a6a
31,29,#696969
31,30,#717171
31,31,#7d7d7d
31,32,#939393
31,33,#a5a5a5
31,34,#a6a6a6
31,35,#c4c4c4
31,36,#e4e4e4
31,37,#cacaca
31,38,#999999
31,39,#636363
31,40,#414141
31,41,#555555
31,42,#888888
31,43,#a8a8a8
31,44,#afafaf
31,45,#7b7b7b
31,46,#3b3b3b
31,47,#3e3e3e
31,48,#2a2a2a
31,49,#393939
31,50,#6c6c6c
31,51,#5b5b5b
31,52,#424242
31,53,#424242
31,54,#4b4b4b
31,55,#4a4a4a
31,56,#484848
31,57,#4f4f4f
31,58,#464646
31,59,#484848
31,60,#e2e2e2
32,0,#fbfbfb
32,1,#d7d7d7
32,2,#cccccc
32,3,#d8d8d8
32,4,#e6e6e6
32,5,#e9e9e9
32,6,#a4a4a4
32,7,#393939
32,8,#1d1d1d
32,9,#131313
32,10,#262626
32,11,#3d3d3d
32,12,#7c7c7c
32,13,#ababab
32,14,#bfbfbf
32,15,#c5c5c5
32,16,#c9c9c9
32,17,#c3c3c3
32,18,#bababa
32,19,#b1b1b1
32,20,#a5a5a5
32,21,#9f9f9f
32,22,#9b9b9b
32,23,#979797
32,24,#909090
32,25,#888888
32,26,#7f7f7f
32,27,#757575
32,28,#6a6a6a
32,29,#636363
32,30,#656565
32,31,#696969
32,32,#727272
32,33,#797979
32,34,#7b7b7b
32,35,#a8a8a8
32,36,#e2e2e2
32,37,#dddddd
32,38,#afafaf
32,39,#696969
32,40,#363636
32,41,#464646
32,42,#7e7e7e
32,43,#b8b8b8
32,44,#d2d2d2
32,45,#9f9f9f
32,46,#474747
32,47,#2e2e2e
32,48,#2d2d2d
32,49,#262626
32,50,#505050
32,51,#4c4c4c
32,52,#404040
32,53,#434343
32,54,#474747
32,55,#464646
32,56,#494949
32,57,#4e4e4e
32,58,#474747
32,59,#8f8f8f
32,60,#ececec
33,5,#fbfbfb
33,6,#b2b2b2
33,7,#2f2f2f
33,8,#181818
33,9,#0e0e0e
33,10,#303030
33,11,#4c4c4c
33,12,#888888
33,13,#b4b4b4
33,14,#c2c2c2
33,15,#c5c5c5
33,16,#c7c7c7
33,17,#c3c3c3
33,18,#bebebe
33,19,#b5b5b5
33,20,#a7a7a7
33,21,#9f9f9f
33,22,#989898
33,23,#909090
33,24,#878787
33,25,#7e7e7e
33,26,#787878
33,27,#6f6f6f
33,28,#646464
33,29,#595959
33,30,#535353
33,31,#4f4f4f
33,32,#494949
33,33,#464646
33,34,#4c4c4c
33,35,#717171
33,36,#bbbbbb
33,37,#dfdfdf
33,38,#cacaca
33,39,#919191
33,40,#494949
33,41,#424242
33,42,#757575
33,43,#b2b2b2
33,44,#d2d2d2
33,45,#b7b7b7
33,46,#656565
33,47,#303030
33,48,#303030
33,49,#191919
